event_date,event_name,category,description
1990-08-02,Iraq invades Kuwait (Gulf War),Conflict,"Iraq's invasion of Kuwait removed ~4.3M b/d from the market and triggered a price spike from ~$17 to over $40 within two months."
1997-07-02,Asian Financial Crisis begins,Economic,"Collapse of the Thai baht sparked a regional crisis that crushed Asian oil demand, contributing to Brent falling below $10 by late 1998."
2001-09-11,September 11 attacks,Geopolitical,"Attacks on the US caused an immediate price spike followed by a sharp decline as global economic activity and air travel contracted."
2003-03-20,US-led invasion of Iraq,Conflict,"War in a major OPEC producer created supply uncertainty; prices rose in the run-up then stabilized after Iraqi supply disruption proved limited."
2008-09-15,Lehman Brothers collapse (Global Financial Crisis),Economic,"The GFC demand shock drove Brent from a July 2008 record of ~$147 to ~$34 by December 2008."
2008-12-17,OPEC record production cut,OPEC,"OPEC announced its largest-ever cut of 4.2M b/d (from Sept 2008 levels) to arrest the price collapse during the financial crisis."
2011-02-15,Libyan civil war (Arab Spring),Conflict,"Uprising in Libya removed ~1.5M b/d of light sweet crude, pushing Brent back above $100 and sustaining it there."
2014-11-27,OPEC declines to cut production,OPEC,"OPEC's decision to defend market share against US shale rather than cut output accelerated the 2014-2016 price collapse from ~$110 to under $30."
2016-01-16,Iran sanctions lifted (JCPOA Implementation Day),Sanctions,"Lifting of nuclear-related sanctions returned ~1M b/d of Iranian exports to an already oversupplied market near the cycle low."
2016-11-30,OPEC Vienna agreement,OPEC,"First OPEC production cut since 2008 (1.2M b/d, joined by non-OPEC producers) marked the start of the OPEC+ era and supported price recovery."
2018-05-08,US withdraws from Iran nuclear deal,Sanctions,"Re-imposition of US sanctions on Iranian exports tightened expected supply and supported prices through mid-2018."
2019-09-14,Abqaiq-Khurais drone attack,Conflict,"Attack on Saudi Aramco facilities knocked out ~5.7M b/d (roughly 5% of world supply), causing the largest single-day Brent jump on record (~15%)."
2020-03-06,OPEC+ agreement collapses (Saudi-Russia price war),OPEC,"Russia's refusal to deepen cuts led Saudi Arabia to slash prices and raise output just as COVID-19 destroyed demand; Brent fell ~24% in a day."
2020-03-11,WHO declares COVID-19 pandemic,Economic,"Lockdowns collapsed global oil demand by ~20M b/d at the trough; Brent fell below $20 in April 2020, its lowest in two decades."
2020-04-12,OPEC+ historic 9.7M b/d cut,OPEC,"Largest coordinated production cut in history stabilized the market after the COVID crash and underpinned the 2020-2021 recovery."
2022-02-24,Russia invades Ukraine,Conflict,"Invasion by the world's second-largest crude exporter and ensuing sanctions pushed Brent above $130 in March 2022, the highest since 2008."
